Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
"Cade Povich","SP","MIN",,32,"21.2472222",,"Rise","35 / 45","","50 / 55","35 / 50","35 / 60",2100,2100,"86-92","96","35+","sa3017787"
"Mason Fox","SIRP","SDP",,38,"24.7555555",,,"55 / 60","","55 / 55","","40 / 40",2450,2550,"90-94","95","35+","sa3007460"
"Luis Rijo","SP","MIN",,34,"23.0916666",,"None","40 / 40","","55 / 55","45 / 50","50 / 60",2050,2650,"90-94","96","35+","sa916950"
"Irv Carter","SP","TOR",,23,"18.7583333",,"Rise","40 / 45","50 / 55","","45 / 55","25 / 55",,,"91-93","95","35+",
"Yennier Cano","SIRP","MIN",,37,"27.5833333",,"Sink","50 / 50","50 / 55","","","45 / 45",2150,2500,"92-95","97","35+","sa3011688"
"Kirby Snead","SIRP","TOR",,26,"27.0055555",,"Sink/Tail","45 / 45","55 / 55","","45 / 50","45 / 45",2550,2750,"92-94","95","35+","19179"
"Dany Jimenez","SIRP","TOR",,27,"25.7944444",,"Rise","60 / 60","60 / 60","","","30 / 30",2450,2400,"93-96","97","35+","21170"
"Michael Rucker","MIRP","CHC",,45,"27.45",,"Tail","55 / 55","55 / 55","50 / 50","45 / 50","45 / 50",2250,2600,"94-97","99","35+","19454"
"Nick Frasso","SP","TOR",,29,"22.975",,"Rise","45 / 55","","40 / 45","40 / 50","30 / 50",2350,2100,"91-93","95","35+","sa3014492"
"Jeremiah Estrada","SIRP","CHC",,47,"22.9388888","8/25/19","Tail","50 / 55","","45 / 45","60 / 60","30 / 40",2350,2400,"92-95","96","35+","sa3005339"
"Hobie Harris","SIRP","TOR",,30,"28.2944444",,,"70 / 70","","45 / 45","","30 / 35",,,"96-98","101","35+","sa876068"
"Ethan Roberts","SIRP","CHC",,48,"24.2638888",,"Cut","45 / 45","","70 / 70","","35 / 40",,,"90-94","95","35+","sa3008132"
"Curtis Taylor","MIRP","TOR",,31,"26.2055555",,"Rise","45 / 55","55 / 55","","45 / 50","40 / 45",2350,2300,"93-97","98","35+","sa917970"
"Eury Ramos","SIRP","CHC",,49,"23.9972222",,"Rise/Cut","65 / 65","45 / 50","","","40 / 45",,,"95-99","100","35+","sa873729"
"Roither Hernandez","SIRP","TOR",,33,"23.5944444",,"Rise","60 / 65","40 / 55","","30 / 40","30 / 35",2350,2450,"95-98","99","35+","sa3004333"
"Naswell Paulino","SIRP","TOR",,34,"21.4777777",,"Rise","40 / 55","","45 / 55","","30 / 40",2450,2550,"90-92","93","35+","sa3002998"
"Tyler Schlaffer","SP","CHC",,52,"20.375",,"Rise","45 / 50","","45 / 50","45 / 55","20 / 45",2150,2250,"91-93","95","35+","sa3011815"
"Koen Moreno","SP","CHC",,53,"20.1888888",,,"40 / 50","","45 / 50","35 / 50","35 / 55",,,"88-92","94","35+","sa3014509"
"Bailey Horn","MIRP","CHC",,54,"23.7333333","2/1/18","Rise","55 / 60","50 / 55","50 / 50","","40 / 45",2250,2500,"93-95","98","35+","sa3014493"
"Richard Gallardo","SP","CHC",,55,"20.0916666",,"Sink","45 / 45","","45 / 45","50 / 55","35 / 55",1950,2250,"89-93","94","35+","sa3009990"
"Dakota Mekkes","SIRP","CHC",,57,"26.925",,,"55 / 55","55 / 55","","55 / 55","35 / 35",2300,2400,"91-93","96","35+","sa915807"
"Luke Little","SIRP","CHC",,58,"21.1083333",,,"65 / 70","50 / 55","","","30 / 35",,,"94-97","99","35+","sa3014514"
"Collin Snider","SIRP","KCR",,37,"25.9972222",,"Tail","55 / 55","50 / 55","","","50 / 60",,,"93-95","96","35+","sa3004093"
"Carlos Sanabria","SIRP","KCR",,38,"24.7083333",,,"60 / 60","40 / 40","45 / 45","50 / 50","35 / 40",2400,2350,"93-97","99","35+","16634"
"Kasey Kalich","SIRP","KCR",,39,"23.4555555",,"Tail","55 / 55","","50 / 55","","30 / 40",,,"91-95","97","35+","sa1169633"
"Yefri Del Rosario","SIRP","KCR",,40,"22.0444444",,,"50 / 50","","50 / 55","40 / 45","35 / 45",2200,2400,"91-94","96","35+","sa3002971"
"Eric Cerantola","SIRP","KCR",,42,"21.1916666",,"Tail","55 / 60","55 / 60","55 / 55","45 / 55","30 / 40",,,"92-95","97","35+","sa3017914"
"Devin Sweet","MIRP","SEA",,25,"25.0916666",,,"45 / 45","","45 / 45","55 / 60","45 / 55",2250,2350,"90-93","95","35+","sa3008340"
"Samuel Valerio","SIRP","KCR",,43,"20.0027777",,"Tail","60 / 70","","40 / 45","45 / 50","30 / 45",2400,2250,"94-97","99","35+","sa3009220"
"Elvis Alvarado","SIRP","SEA",,26,"22.6277777",,,"60 / 70","40 / 50","","","35 / 40",2550,2250,"92-95","98","35+","sa919291"
"Anderson Paulino","MIRP","KCR",,44,"23.075",,"Sink/Tail","60 / 60","45 / 55","","","40 / 45",,,"95-97","98","35+","sa3007991"
"Calvin Ziegler","RHP","NYM",,22,"18.7722222",,"Tail","50 / 55","40 / 50","","30 / 45","20 / 45",,,"92-94","96","35+",
"Bryan Woo","SIRP","SEA",,27,"21.4472222",,,"55 / 60","30 / 40","","20 / 50","30 / 40",,,"93-96","98","35+",
"Anthony Veneziano","SIRP","KCR",,45,"24.1055555",,"Tail","50 / 55","","","50 / 55","30 / 40",,,"94-96","97","35+","sa1115745"
"Marcel Renteria","SIRP","NYM",,23,"27.0333333",,"Tail","50 / 55","","70 / 70","","30 / 35",,,"93-95","96","35+","sa3005016"
"Zach Haake","SIRP","KCR",,46,"25.0027777",,,"60 / 60","55 / 60","","40 / 45","30 / 35",2400,2500,"92-95","97","35+","sa3008523"
"Joander Suarez","SP","NYM",,24,"21.6166666",,"Rise","45 / 50","50 / 55","","40 / 50","40 / 50",2350,,"91-94","95","35+","sa3008263"
"Eduardo Herrera","SIRP","KCR",,48,"21.7611111",,"Rise","60 / 70","","45 / 50","","30 / 40",2400,2250,"94-96","97","35+","sa3002702"
"Roel Ramirez","SIRP","NYM",,26,"26.3694444",,"Cut","45 / 45","45 / 45","","","40 / 40",2350,2700,"92-96","97","35+","16470"
"Kristian Cardozo","SP","SEA",,31,"18.9138888",,,"40 / 50","","45 / 50","40 / 50","30 / 50",,,"87-91","92","35+","sa3014706"
"Drew Parrish","SP","KCR",,49,"23.8361111",,,"35 / 40","","45 / 45","50 / 55","35 / 50",2250,2700,"87-90","92","35+","sa3011395"
"Ty Adcock","SIRP","SEA",,32,"24.6722222",,,"65 / 65","45 / 50","40 / 50","45 / 50","30 / 35",,,"94-97","100","35+","sa3014482"
"Noah Murdock","SP","KCR",,50,"23.1361111",,"Sink","55 / 55","","55 / 55","45 / 50","40 / 50",2150,2800,"90-95","97","35+","sa919012"
"Michel Otanez","SIRP","NYM",,28,"24.2666666","10/1/16","Sink/Tail","55 / 60","45 / 50","","","30 / 40",2200,,"90-97","99","35+","sa932611"
"Mason Denaburg","SP","WSN",,24,"22.1694444",,,"55 / 60","","60 / 60","50 / 55","30 / 50",2300,2400,"92-95","98","35+","sa3010648"
"Woo-Young Jin","SP","KCR",,53,"20.6222222",,,"30 / 40","","40 / 45","","35 / 50",2050,,"85-88","91","35+","sa3010132"
"Daniel Tillo","SIRP","KCR",,55,"25.3222222","7/29/20",,"60 / 60","50 / 50","","40 / 45","35 / 40",2250,2200,"92-95","97","35+","sa876284"
"Hunter Schryver","SIRP","CHW",,21,"26.5166666","2/20/20","Rise","60 / 60","50 / 50","","","45 / 55",2400,1050,"90-93","94","35+","sa873263"
"Caleb Freeman","SIRP","CHW",,22,"23.6277777",,"Rise","55 / 60","","55 / 60","","30 / 35",2400,3050,"92-95","97","35+","sa3011339"
"Patrick Murphy","SIRP","WSN",,30,"26.3305555",,"Sink","60 / 60","","50 / 50","","45 / 45",2100,2300,"93-97","99","35+","19712"
"Tanner McDougal","SP","CHW",,23,"18.2722222",,"Sink","40 / 50","40 / 50","","40 / 50","20 / 50",,,"90-92","94","35+","sa3017471"
"Holden Powell","SIRP","WSN",,31,"22.0833333",,,"60 / 60","50 / 55","","","30 / 40",2200,2650,"94-97","99","35+","sa3014854"
"Zach Brzykcy","SIRP","WSN",,32,"22.2416666",,"Rise/Tail","60 / 60","","55 / 60","","30 / 35",2300,2550,"94-98","99","35+","sa3014984"
"Jimmy Lambert","SIRP","CHW",,25,"26.8916666","6/21/19","Tail","45 / 50","50 / 55","50 / 55","50 / 55","45 / 50",2200,2750,"91-94","95","35+","19541"
"Reid Schaller","SIRP","WSN",,33,"24.5194444","1/1/16",,"45 / 55","50 / 55","","40 / 45","45 / 50",2450,2400,"91-94","96","35+","sa3008023"
"Todd Peterson","SP","WSN",,34,"23.7138888",,,"55 / 60","50 / 55","","","35 / 45",,,"93-95","96","35+","sa3011334"
"Jose Marte","SIRP","LAA",,25,"25.3194444",,"Tail","70 / 70","55 / 60","","","30 / 30",,,"97-100","101","35+","21761"
"Brendan Beck","SP","NYY",,29,"22.7638888",,"Sink","35 / 40","40 / 45","50 / 55","40 / 45","35 / 60",,,"87-90","94","35+",
"Elvis Peguero","SIRP","LAA",,26,"24.5527777",,"Tail","60 / 60","55 / 60","","","35 / 50",,,"92-95","97","35+","21652"
"Brock Selvidge","MIRP","NYY",,30,"18.8694444",,,"40 / 50","","45 / 55","","20 / 40",,,"90-94","95","35+",
"Janson Junk","SP","LAA",,27,"25.7333333",,"Rise","50 / 50","50 / 55","55 / 60","","55 / 60",2450,,"91-93","96","35+","23301"
"Nelson L Alvarez","SIRP","NYY",,31,"23.3277777",,"Cut","50 / 55","50 / 55","","","30 / 40",2450,2550,"94-96","97","35+","sa3010783"
"Kyle Tyler","SP","LAA",,28,"24.7833333",,"Rise","50 / 50","45 / 50","45 / 45","45 / 50","50 / 55",,,"92-95","96","35+","22092"
"Luke Murphy","SIRP","LAA",,29,"21.9277777",,"Rise","60 / 60","40 / 45","40 / 40","35 / 40","30 / 40",2450,2450,"95-97","99","35+","sa3017653"
"Jose Salvador","SIRP","LAA",,30,"22.05",,"Rise","45 / 55","","50 / 50","30 / 35","35 / 40",2400,2500,"89-91","93","35+","sa3006482"
"Alfredo Garcia","SIRP","NYY",,34,"22.2138888",,"Tail","45 / 50","","45 / 50","50 / 55","40 / 45",2300,1850,"90-94","95","35+","sa3003045"
"Chase Silseth","SIRP","LAA",,31,"21.3916666",,"Sink","45 / 50","45 / 50","40 / 45","45 / 55","30 / 40",2250,2500,"93-95","98","35+","sa3017871"
"Eric Silva","SP","SFG",,37,"18.7722222",,"Sink","40 / 45","20 / 50","45 / 50","40 / 50","25 / 60",,,"89-93","94","35+",
"Landon Marceaux","MIRP","LAA",,32,"22.0027777",,,"40 / 40","55 / 60","55 / 55","30 / 40","35 / 55",2200,2800,"89-93","95","35+","sa3017913"
"Trevor McDonald","SP","SFG",,38,"20.6194444",,"Tail","45 / 50","45 / 55","","40 / 55","30 / 50",2200,2350,"90-94","96","35+","sa3011835"
"Cooper Criswell","SP","LAA",,33,"25.2083333",,"Tail","40 / 40","45 / 45","","50 / 50","50 / 50",,,"86-89","91","35+","24975"
"Osiel Rodriguez","SP","NYY",,37,"19.8805555",,"Tail","30 / 60","45 / 55","50 / 60","45 / 55","35 / 50",,,"86-89","90","35+","sa3009991"
"Luis Mey","SIRP","CIN",,25,"20.2916666",,"Rise","55 / 60","","40 / 45","35 / 45","30 / 45",2050,2250,"95-97","98","35+","sa3010130"
"Connor Higgins","SIRP","LAA",,34,"25.2166666",,"Rise","55 / 55","50 / 55","","","30 / 35",2250,,"91-94","97","35+","sa3006808"
"Mason Black","SIRP","SFG",,40,"21.5861111",,"Tail","50 / 55","30 / 50","40 / 45","45 / 55","30 / 40",,,"92-96","98","35+",
"Jacob Heatherly","MIRP","CIN",,26,"23.3861111",,"Tail","45 / 50","","45 / 50","50 / 55","30 / 40",1800,1950,"90-94","95","35+","sa3004736"
"Ivan Armstrong","MIRP","LAA",,35,"21.2",,,"55 / 60","50 / 55","","","35 / 40",,,"93-97","98","35+","sa3006358"
"Randy Vasquez","MIRP","NYY",,39,"22.9333333",,"Cut/Rise","45 / 50","","55 / 60","40 / 45","40 / 45",2500,3150,"90-94","95","35+","sa3007933"
"Esmerlin Vinicio","SP","SFG",,41,"18.6916666",,,"20 / 50","","40 / 55","50 / 60","35 / 55",,,"83-85","86","35+","sa3014708"
"Gabriel Tapia","SP","LAA",,36,"19.3861111",,"Rise","40 / 45","","45 / 50","50 / 55","20 / 45",2300,,"90-93","94","35+","sa3009779"
"Yoljeldriz Diaz","SP","NYY",,40,"20.2361111",,"Rise","40 / 45","35 / 55","50 / 60","40 / 45","35 / 50",2150,2900,"90-92","93","35+","sa3010248"
"Kevin Abel","MIRP","CIN",,28,"22.3944444","4/15/19","Rise","40 / 40","","50 / 55","60 / 60","35 / 60",,,"87-91","94","35+","sa3017879"
"Oliver Ortega","SIRP","LAA",,37,"25.0194444",,"Rise","55 / 55","","55 / 55","","30 / 35",2300,,"92-96","97","35+","21025"
"Raffi Vizcaino","SIRP","SFG",,43,"25.8527777",,"Rise/Tail","60 / 60","55 / 55","","50 / 50","30 / 30",2450,2700,"94-97","98","35+","sa736742"
"Brandon Bailey","SIRP","CIN",,29,"26.9722222","2/26/21","Rise","50 / 50","45 / 50","55 / 55","60 / 60","40 / 40",2550,2600,"89-93","94","35+","19582"
"Gerardo Reyes","SIRP","LAA",,38,"28.4055555","3/10/21","Tail","60 / 60","55 / 55","","","30 / 30",2450,2400,"95-98","99","35+","16306"
"Jake Agnos","MIRP","NYY",,42,"23.3777777",,"Rise","45 / 45","","45 / 45","50 / 55","40 / 50",2300,1850,"88-92","93","35+","sa1054040"
"Hector Perez","SIRP","CIN",,30,"25.3416666",,"Cut/Rise","60 / 60","50 / 55","","","20 / 30",2350,2350,"91-95","96","35+","18592"
"Jacob Steinmetz","SP","ARI",,38,"17.9777777",,"Rise/Tail","40 / 50","","45 / 55","30 / 45","20 / 50",,,"87-92","94","35+",
"Eduardo Salazar","MIRP","CIN",,31,"23.4277777",,"Rise","55 / 55","40 / 45","","40 / 45","45 / 55",2350,,"94-96","99","35+","sa3003131"
"Cole Waites","SIRP","SFG",,46,"23.3305555",,"Cu/Rise","70 / 70","45 / 55","","","20 / 35",,,"96-99","100","35+","sa3011556"
"Robinson Pina","SIRP","LAA",,41,"22.8694444",,,"50 / 60","","50 / 55","40 / 45","20 / 30",2450,,"89-93","95","35+","sa3003123"
"Dedniel Nunez","SIRP","SFG",,47,"25.3444444","3/20/21",,"60 / 60","60 / 60","","","35 / 40",2600,,"93-94","96","35+","sa3004203"
"Junior Mieses","SIRP","ARI",,40,"21.9833333",,"Cut/Rise","45 / 55","45 / 50","","","30 / 45",2450,2300,"90-93","95","35+","sa3005258"
"Miguel Medrano","SIRP","CIN",,33,"23.7638888",,"Rise","40 / 45","","45 / 50","55 / 60","45 / 60",2200,2500,"89-92","93","35+","sa947763"
"Bobby Ay","SIRP","ARI",,42,"24.3638888",,"Tail","40 / 50","50 / 60","40 / 45","","40 / 50",2150,2800,"90-92","93","35+","sa3011535"
"Joe Boyle","SIRP","CIN",,35,"22.1527777",,"Tail","80 / 80","50 / 55","","","20 / 30",2550,2500,"98-101","102","35+","sa3014498"
"West Tunnell","SIRP","ARI",,43,"27.8861111",,"Cut/Rise","60 / 60","50 / 55","","","35 / 40",2500,2600,"93-96","97","35+","sa3002749"
"Matt Mercer","SIRP","ARI",,44,"25.1055555",,"Rise","45 / 55","40 / 40","45 / 45","55 / 55","40 / 40",2150,2450,"88-93","96","35+","sa3007837"
"Avery Short","SP","ARI",,45,"20.5694444",,"Rise","30 / 40","45 / 50","45 / 50","30 / 45","25 / 60",,,"88-92","93","35+","sa3011712"
"Edinson Soto","SIRP","ARI",,46,"25.0611111",,"Cut/Rise","50 / 55","45 / 55","50 / 55","","",2400,2800,"92-95","96","35+","sa3009831"
"Luis Castillo","SIRP","ARI",,47,"26.5805555",,"Tail","45 / 45","50 / 50","","55 / 55","50 / 50",,,"90-92","94","35+","sa657838"
"Austin Love","SIRP","STL",,20,"22.4583333",,,"50 / 60","50 / 55","","","30 / 45",,,,,"35+","sa3017609"
"Andre Pallante","SP","STL",,22,"23.0583333",,"Cut","40 / 45","50 / 55","50 / 50","40 / 45","35 / 50",2150,,"90-93","95","35+","sa3011186"
"Aiden McIntyre","SIRP","OAK",,24,"26.1166666",,"Rise/Tail","55 / 65","40 / 45","","45 / 55","30 / 40",,,"92-95","96","35+","sa3007733"
"Eduardo Rivera","SIRP","OAK",,25,"18.0777777",,"Rise","55 / 60","","50 / 55","","20 / 40",,,"93-96","97","35+","sa3017951"
"Jorge Juan","SP","OAK",,26,"22.5916666",,,"60 / 60","40 / 45","40 / 45","40 / 50","30 / 50",,,"93-97","98","35+","sa3005826"
"Steven Gingery","SP","STL",,26,"24.025",,,"40 / 45","","45 / 45","55 / 60","35 / 50",2000,2300,"88-93","94","35+","sa3011747"
"Jesus Cruz","SIRP","STL",,27,"26.4833333",,"Sink","55 / 55","55 / 55","","50 / 50","30 / 35",2200,2750,"94-96","98","35+","20042"
"Connor Jones","SIRP","STL",,28,"26.9972222",,"Sink","55 / 55","50 / 55","","40 / 40","35 / 35",1900,2600,"92-95","97","35+","sa738697"
"A.J. Smith-Shawver","SP","ATL",,22,"18.6416666",,"Rise/Tail","45 / 55","","","","20 / 45",,,"89-93","95","35+",
"Wandisson Charles","SIRP","OAK",,31,"25.0888888",,,"70 / 70","50 / 55","","","30 / 35",2200,,"94-98","99","35+","sa874818"
"Griffin Roberts","SIRP","STL",,30,"25.3222222",,"Tail","40 / 45","55 / 60","","40 / 40","40 / 40",2250,2700,"90-93","95","35+","sa3008483"
"Adam Shoemaker","SIRP","ATL",,23,"18.6416666",,"Rise","50 / 60","","40 / 50","40 / 50","20 / 40",,,"91-95","97","35+",
"Rodard Avelino","SIRP","STL",,31,"22.35",,"Cut/Rise","60 / 70","45 / 60","","","20 / 30",2600,2750,"94-98","99","35+","sa3003040"
"Darius Vines","SP","ATL",,24,"23.4416666",,"Cut/Rise","45 / 50","","45 / 50","55 / 60","35 / 50",2350,,"88-92","94","35+","sa918848"
"Jose Mora","SIRP","OAK",,33,"24.0222222",,"Tali","45 / 45","55 / 60","","","30 / 35",2000,2500,"90-93","94","35+","sa875839"
"Jared Johnson","SP","ATL",,25,"20.5666666",,"Sink","55 / 60","45 / 55","","","30 / 50",1850,,"94-97","99","35+","sa3011626"
"Nolan Kingham","SP","ATL",,28,"25.1416666",,"None","50 / 55","40 / 45","","40 / 45","45 / 55",2200,,"92-94","96","35+","sa3008224"
"Nick Nastrini","SIRP","LAD",,38,"21.3972222",,"Rise","60 / 70","","50 / 55","","30 / 35",2500,2500,"94-96","98","35+","sa3017413"
"Octavio Becerra","SIRP","LAD",,39,"20.6833333",,"Rise","40 / 45","55 / 60","","45 / 60","30 / 45",,,"90-93","94","35+","sa3008303"
"Xzavion Curry","SP","CLE",,36,"23.2",,"Rise","45 / 50","45 / 50","50 / 50","40 / 45","35 / 55",,,"89-94",,"35+","sa3014790"
"Juan Morillo","SIRP","LAD",,42,"22.5555555",,"Rise","50 / 55","50 / 55","","30 / 40","30 / 45",2300,2550,"92-94","96","35+","sa917772"
"Peyton Battenfield","SIRP","CLE",,38,"24.1638888",,,"50 / 55","","45 / 45","45 / 50","35 / 45",2350,,"92-95",,"35+","sa3010133"
"Osvanni Gutierrez","SP","LAD",,43,"20.375",,"Tail","35 / 50","","30 / 45","50 / 70","20 / 45",,,"90-92","93","35+","sa3009730"
"Kyle Hurt","SP","LAD",,44,"23.3583333",,"Tail/Rise","45 / 50","40 / 45","","50 / 55","30 / 50",2100,2300,"91-94","95","35+","sa3016453"
"Jose Martinez","SIRP","LAD",,46,"22.4611111",,"Sink","45 / 50","40 / 45","","55 / 60","40 / 50",2250,2400,"91-95","97","35+","sa3002796"
"Cam Hill","SIRP","CLE",,42,"27.375",,"Rise","50 / 50","55 / 55","50 / 50","","40 / 40",2300,2750,"91-94","95","35+","16840"
"Gus Varland","SIRP","LAD",,47,"24.925","8/1/19",,"50 / 55","50 / 55","45 / 50","","40 / 45",2450,2350,"92-94","95","35+","sa3007779"
"Robert Broom","SIRP","CLE",,43,"25.0611111",,"Sink/Tail","40 / 40","55 / 55","","","50 / 55",2100,,"87-90","92","35+","sa3007235"
"Scott Moss","MIRP","CLE",,44,"27.0083333",,"Rise","55 / 55","50 / 50","","50 / 50","35 / 40",2400,2400,"89-93","95","35+","sa738902"
"Kelvin Bautista","SIRP","LAD",,50,"22.2555555",,,"60 / 60","","50 / 55","","20 / 30",,,"94-97","98","35+","sa3006491"
"Adam Scott","SIRP","CLE",,46,"25.9972222",,"Tail","50 / 55","55 / 60","","40 / 45","45 / 55",2250,,"90-93","95","35+","sa3006826"
"Guillermo Zuniga","SIRP","LAD",,51,"22.9972222",,"Tail","55 / 60","55 / 60","","40 / 45","30 / 40",2350,2450,"91-96","97","35+","sa945024"
"Cristopher Sanchez","MIRP","PHI",,30,"24.825",,"Sink","50 / 55","45 / 45","45 / 45","50 / 55","40 / 45",2250,2200,"89-94","95","35+","20778"
"Mauricio Llovera","SIRP","PHI",,31,"25.4777777",,"Tail","50 / 50","","45 / 45","","40 / 40",2000,2400,"93-95","96","35+","20080"
"Griff McGarry","MIRP","PHI",,32,"22.0916666",,"Tail","55 / 60","55 / 60","","60 / 60","30 / 35",,,"93-96","98","35+","sa3017130"
"Julian Garcia","MIRP","PHI",,33,"26.1611111",,"Rise","55 / 55","","55 / 55","50 / 50","50 / 50",2700,2800,"87-90","91","35+","sa918182"
"Damon Jones","SIRP","PHI",,34,"27.025",,"Rise","55 / 55","60 / 60","","","30 / 35",2350,2700,"91-94","96","35+","23310"
"Brent Honeywell Jr.","SIRP","TBR",,35,"26.525","2/27/18",,"60 / 60","","50 / 55","60 / 65","45 / 55",2400,2600,"92-94","97","35+","16466"
"Kyle Dohy","SIRP","PHI",,35,"25.0611111",,"Tail","50 / 50","40 / 40","","60 / 60","30 / 30",2400,2450,"90-93","96","35+","20334"
"Colby White","SIRP","TBR",,36,"23.2638888",,"Cut/Rise","55 / 60","50 / 55","","","30 / 40",2350,,"92-95","97","35+","sa3011200"
"Brendan McKay","SP","TBR",,37,"25.8083333",,"Sink","55 / 55","","55 / 55","50 / 55","55 / 70",2250,2050,"91-95","96","35+","20186"
"Brooks Kriske","SIRP","BAL",,33,"27.6833333",,"Rise","60 / 60","50 / 50","","","35 / 35",2500,2450,"92-96","98","35+","21189"
"Ramon Rosso","MIRP","PHI",,39,"25.3333333",,"Cut","","50 / 50","","","40 / 40",2600,2550,"94-96","97","35+","20368"
"Carlos Garcia","SIRP","TBR",,40,"22.8638888",,"Rise","55 / 60","45 / 50","","40 / 50","30 / 40",2600,2500,"90-94","95","35+","sa3006590"
"Victor Munoz","SIRP","TBR",,41,"20.7888888",,,"45 / 55","","45 / 50","40 / 50","35 / 50",2300,2250,"90-93","95","35+","sa3006381"
"Kevin Smith","SIRP","BAL",,37,"24.4055555",,"Tail","45 / 45","50 / 55","","45 / 50","45 / 50",2450,,"87-90","92","35+","sa3007710"
"Jose Pena Jr.","SIRP","PHI",,41,"18.0083333",,,"45 / 50","","50 / 60","40 / 45","20 / 45",,,"92-95","96","35+","sa3017821"
"Hsin-Chieh Lin","SP","PHI",,42,"22.5583333",,"Rise","40 / 45","40 / 50","","40 / 50","35 / 50",2450,2450,"89-92","94","35+","sa3008535"
"Graeme Stinson","MIRP","TBR",,43,"24.175",,,"40 / 60","60 / 70","","40 / 40","35 / 45",2300,2650,"93-95","98","35+","sa3011900"
"Zack Burdi","SIRP","BAL",,39,"26.5833333","7/27/17","Tail","65 / 65","55 / 55","","55 / 55","30 / 35",2600,2700,"96-98","100","35+","19159"
"Nicoly Pina","SP","PHI",,43,"22.0027777",,"Rise","55 / 60","45 / 55","","","30 / 40",2300,2350,"93-96","97","35+","sa3005875"
"Andrew Schultz","SIRP","PHI",,44,"24.1916666",,"Tail","70 / 70","45 / 50","","35 / 40","30 / 35",2450,,"96-99","100","35+","sa3010782"
"Blaine Knight","SIRP","BAL",,42,"25.2805555",,"Rise/Tail","45 / 50","50 / 50","55 / 60","40 / 45","40 / 45",2250,2950,"91-94","97","35+","sa3008532"
"Joel Peguero","SIRP","TBR",,47,"24.4277777",,"Tail","70 / 70","55 / 60","","","35 / 40",2300,2500,"93-97","98","35+","sa917689"
"Sandy Gaston","SIRP","TBR",,48,"19.8138888",,"Rise","55 / 65","","45 / 50","45 / 50","30 / 45",2100,2150,"93-96","97","35+","sa3011136"
"Brenan Hanifee","SP","BAL",,44,"23.3611111",,"Sink","55 / 60","45 / 50","","","45 / 50",2050,2100,"91-93","95","35+","sa917973"
"Jake Zebron","SP","BAL",,45,"21.6805555",,"Rise","40 / 45","","50 / 60","30 / 45","35 / 50",2100,2700,"88-92","94","35+","sa3007250"
"Ignacio Feliz","SP","BAL",,46,"21.9611111",,"Cut","40 / 45","","50 / 55","40 / 50","40 / 50",2350,2600,"86-90","92","35+","sa3002982"
"Audry Lugo","SIRP","TBR",,51,"22.9444444",,"Cut","45 / 55","","55 / 60","40 / 45","40 / 50",2300,2750,"92-94","96","35+","sa3008710"
"Felix Bautista","SIRP","BAL",,47,"26.3027777",,"Tail","65 / 65","","","","30 / 35",2450,,"93-98","100","35+","sa737480"
"Will Ethridge","SP","COL",,31,"23.8027777",,"Tail","40 / 40","45 / 50","","50 / 50","35 / 60",2200,2150,"90-95","96","35+","sa3011337"
"Luis Vizcaino","MIRP","MIA",,32,"20.25",,,"40 / 45","","60 / 70","","30 / 50",,,,,"35+","sa3011812"
"Antonio Santos","SIRP","COL",,32,"25.0083333",,"Rise","55 / 55","50 / 50","45 / 45","50 / 50","40 / 40",2200,2200,"92-95","97","35+","20383"
"Andrew Nardi","SIRP","MIA",,33,"23.1416666",,,"45 / 45","55 / 60","","","45 / 55",,,"86-90",,"35+","sa3011234"